phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771863459.087,0.024,11,0,0,0,0,0
business,1771863460.085,1.024,32,0,0,0,0,0
business,1771863461.085,2.024,32,0,0,0,0,0
business,1771863462.086,3.024,32,0,0,0,0,0
business,1771863463.088,4.024,32,0,0,0,0,0
business,1771863464.087,5.025,32,0,0,0,0,0
business,1771863465.087,6.025,32,0,0,0,0,0
business,1771863466.086,7.025,32,32,32,0,0,0
business,1771863467.086,8.025,32,32,0,0,0,0
business,1771863468.087,9.025,32,32,0,0,0,0
business,1771863469.088,10.025,32,32,0,0,0,0
business,1771863470.090,11.026,32,32,0,0,0,0
business,1771863471.090,12.028,32,64,32,0,0,0
business,1771863472.090,13.028,32,64,0,0,0,0
business,1771863473.090,14.028,32,64,0,0,0,0
business,1771863474.090,15.028,32,64,0,0,0,0
business,1771863475.091,16.029,32,64,0,0,0,0
business,1771863476.092,17.029,32,96,32,0,0,0
business,1771863477.092,18.029,32,96,0,0,0,0
business,1771863478.093,19.030,32,96,0,0,0,0
business,1771863479.094,20.032,32,96,0,0,0,0
business,1771863480.094,21.032,32,96,0,0,0,0
business,1771863481.095,22.033,32,128,32,0,0,0
business,1771863482.094,23.033,32,128,0,0,0,0
business,1771863483.094,24.033,32,128,0,0,0,0
business,1771863484.095,25.033,32,128,0,0,0,0
business,1771863485.096,26.034,32,128,0,0,0,0
business,1771863486.096,27.034,32,160,32,0,0,0
business,1771863487.096,28.034,32,160,0,0,0,0
business,1771863488.096,29.034,32,160,0,0,0,0
business,1771863489.097,30.035,32,160,0,0,0,0
business,1771863490.097,31.035,32,160,0,0,0,0
business,1771863491.099,32.036,32,192,32,0,0,0
business,1771863492.097,33.036,32,192,0,0,0,0
business,1771863493.100,34.037,32,192,0,0,0,0
business,1771863494.099,35.037,32,192,0,0,0,0
business,1771863495.101,36.038,32,192,0,0,0,0
business,1771863496.101,37.039,32,224,32,0,0,0
business,1771863497.102,38.039,32,224,0,0,0,0
business,1771863498.101,39.039,32,224,0,0,0,0
business,1771863499.103,40.040,32,224,0,0,0,0
business,1771863500.103,41.041,32,224,0,0,0,0
business,1771863501.103,42.041,26,260,36,0,0,0
business,1771863502.104,43.041,1,287,27,0,0,0
business,1771863503.103,44.041,5,314,27,0,0,0
business,1771863504.104,45.042,0,341,27,0,0,0
business,1771863505.104,46.042,0,369,28,0,0,0
business,1771863506.106,47.043,0,390,21,0,0,0
business,1771863507.105,48.043,0,410,20,0,0,0
business,1771863508.105,49.044,32,410,0,0,0,0
business,1771863509.106,50.044,32,410,0,0,0,0
business,1771863510.106,51.044,32,410,0,0,0,0
business,1771863511.106,52.044,22,447,37,0,0,0
business,1771863512.106,53.044,6,461,14,0,0,0
business,1771863513.107,54.045,0,477,16,0,0,0
business,1771863514.107,55.045,0,499,22,0,0,0
business,1771863515.107,56.045,0,523,24,0,0,0
business,1771863516.107,57.045,0,555,32,0,0,0
business,1771863517.108,58.045,0,581,26,0,0,0
business,1771863518.108,59.046,0,613,32,0,0,0
udp_inject,1771863519.118,60.056,12,645,32,0,0,0
udp_inject,1771863520.122,61.057,12,645,0,0,0,0
udp_inject,1771863521.131,62.060,12,645,0,0,0,0
udp_inject,1771863522.128,63.061,12,645,0,0,0,0
udp_inject,1771863523.129,64.061,12,645,0,0,0,0
udp_inject,1771863524.133,65.064,12,645,0,0,0,0
udp_inject,1771863525.130,66.064,12,645,0,0,0,0
udp_inject,1771863526.130,67.064,12,645,0,0,0,0
udp_inject,1771863527.133,68.064,12,645,0,0,0,0
udp_inject,1771863528.131,69.064,12,645,0,0,0,0
udp_inject,1771863529.132,70.066,12,645,0,0,0,0
udp_inject,1771863530.142,71.067,12,645,0,0,0,0
udp_inject,1771863531.132,72.067,12,645,0,0,0,0
udp_inject,1771863532.134,73.067,12,645,0,0,0,0
udp_inject,1771863533.136,74.068,12,645,0,0,0,0
udp_inject,1771863534.137,75.070,12,645,0,0,0,0
udp_inject,1771863535.138,76.071,12,645,0,0,0,0
udp_inject,1771863536.137,77.071,12,645,0,0,0,0
udp_inject,1771863537.143,78.074,12,645,0,0,0,0
udp_inject,1771863538.144,79.074,12,645,0,0,0,0
udp_inject,1771863539.145,80.078,12,645,0,0,0,0
udp_inject,1771863540.143,81.079,12,645,0,0,0,0
udp_inject,1771863541.150,82.079,12,645,0,0,0,0
udp_inject,1771863542.147,83.079,12,645,0,0,0,0
udp_inject,1771863543.146,84.080,12,645,0,0,0,0
udp_inject,1771863544.146,85.081,12,645,0,0,0,0
udp_inject,1771863545.151,86.081,12,645,0,0,0,0
udp_inject,1771863546.147,87.082,12,645,0,0,0,0
udp_inject,1771863547.156,88.082,12,645,0,0,0,0
udp_inject,1771863548.158,89.082,12,645,0,0,0,0
