phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771863752.292,0.026,11,0,0,0,0,0
business,1771863753.292,1.026,32,0,0,0,0,0
business,1771863754.292,2.026,32,0,0,0,0,0
business,1771863755.293,3.026,32,0,0,0,0,0
business,1771863756.292,4.026,32,0,0,0,0,0
business,1771863757.294,5.027,32,0,0,0,0,0
business,1771863758.294,6.027,32,0,0,0,0,0
business,1771863759.293,7.027,32,32,32,0,0,0
business,1771863760.294,8.027,32,32,0,0,0,0
business,1771863761.294,9.028,32,32,0,0,0,0
business,1771863762.295,10.028,32,32,0,0,0,0
business,1771863763.298,11.028,32,32,0,0,0,0
business,1771863764.300,12.028,32,64,32,0,0,0
business,1771863765.295,13.029,32,64,0,0,0,0
business,1771863766.295,14.029,32,64,0,0,0,0
business,1771863767.295,15.029,32,64,0,0,0,0
business,1771863768.297,16.030,32,64,0,0,0,0
business,1771863769.296,17.030,32,96,32,0,0,0
business,1771863770.297,18.030,32,96,0,0,0,0
business,1771863771.297,19.030,32,96,0,0,0,0
business,1771863772.297,20.030,32,96,0,0,0,0
business,1771863773.298,21.031,32,96,0,0,0,0
business,1771863774.297,22.031,32,128,32,0,0,0
business,1771863775.307,23.031,32,128,0,0,0,0
business,1771863776.298,24.031,32,128,0,0,0,0
business,1771863777.299,25.032,32,128,0,0,0,0
business,1771863778.299,26.032,31,129,1,0,0,0
business,1771863779.305,27.032,32,160,31,0,0,0
business,1771863780.306,28.033,32,160,0,0,0,0
business,1771863781.300,29.033,32,160,0,0,0,0
business,1771863782.300,30.033,32,160,0,0,0,0
business,1771863783.301,31.035,32,160,0,0,0,0
business,1771863784.309,32.037,32,192,32,0,0,0
business,1771863785.313,33.039,32,192,0,0,0,0
business,1771863786.312,34.041,32,192,0,0,0,0
business,1771863787.309,35.042,32,192,0,0,0,0
business,1771863788.310,36.043,32,192,0,0,0,0
business,1771863789.319,37.044,32,224,32,0,0,0
business,1771863790.310,38.044,32,224,0,0,0,0
business,1771863791.312,39.044,32,224,0,0,0,0
business,1771863792.312,40.045,32,224,0,0,0,0
business,1771863793.312,41.046,32,224,0,0,0,0
business,1771863794.314,42.046,0,288,64,0,0,0
business,1771863795.314,43.047,0,320,32,0,0,0
business,1771863796.315,44.047,0,352,32,0,0,0
business,1771863797.315,45.047,0,384,32,0,0,0
business,1771863798.315,46.048,0,416,32,0,0,0
business,1771863799.315,47.048,0,446,30,0,0,0
business,1771863800.316,48.049,0,476,30,0,0,0
business,1771863801.315,49.049,32,476,0,0,0,0
business,1771863802.316,50.049,32,476,0,0,0,0
business,1771863803.316,51.050,32,476,0,0,0,0
business,1771863804.317,52.050,0,539,63,0,0,0
business,1771863805.316,53.050,0,571,32,0,0,0
business,1771863806.318,54.050,0,603,32,0,0,0
business,1771863807.317,55.050,0,635,32,0,0,0
business,1771863808.318,56.051,0,666,31,0,0,0
business,1771863809.318,57.051,0,698,32,0,0,0
business,1771863810.318,58.051,0,728,30,0,0,0
business,1771863811.318,59.051,0,759,31,0,0,0
udp_inject,1771863812.329,60.060,12,782,23,0,0,0
udp_inject,1771863813.328,61.060,11,782,0,0,0,0
udp_inject,1771863814.334,62.063,12,782,0,0,0,0
udp_inject,1771863815.337,63.063,12,782,0,0,0,0
udp_inject,1771863816.333,64.063,12,782,0,0,0,0
udp_inject,1771863817.336,65.064,12,782,0,0,0,0
udp_inject,1771863818.332,66.065,12,782,0,0,0,0
udp_inject,1771863819.334,67.065,12,782,0,0,0,0
udp_inject,1771863820.336,68.065,12,782,0,0,0,0
udp_inject,1771863821.337,69.065,12,782,0,0,0,0
udp_inject,1771863822.334,70.066,12,782,0,0,0,0
udp_inject,1771863823.337,71.067,12,782,0,0,0,0
udp_inject,1771863824.340,72.068,12,782,0,0,0,0
udp_inject,1771863825.341,73.068,12,782,0,0,0,0
udp_inject,1771863826.342,74.069,12,782,0,0,0,0
udp_inject,1771863827.343,75.070,12,782,0,0,0,0
udp_inject,1771863828.342,76.070,12,782,0,0,0,0
udp_inject,1771863829.343,77.070,12,782,0,0,0,0
udp_inject,1771863830.345,78.070,12,782,0,0,0,0
udp_inject,1771863831.338,79.071,12,782,0,0,0,0
udp_inject,1771863832.342,80.071,12,782,0,0,0,0
udp_inject,1771863833.344,81.073,12,782,0,0,0,0
udp_inject,1771863834.347,82.074,12,782,0,0,0,0
udp_inject,1771863835.346,83.074,12,782,0,0,0,0
udp_inject,1771863836.344,84.074,12,782,0,0,0,0
udp_inject,1771863837.347,85.075,12,782,0,0,0,0
udp_inject,1771863838.347,86.076,12,782,0,0,0,0
udp_inject,1771863839.348,87.077,12,782,0,0,0,0
udp_inject,1771863840.348,88.078,12,782,0,0,0,0
udp_inject,1771863841.353,89.078,12,782,0,0,0,0
