phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771861808.728,0.006,1,0,0,0,0,0
business,1771861809.730,1.007,3,17,17,0,0,0
business,1771861810.731,2.007,4,37,20,0,0,0
business,1771861811.727,3.007,1,57,20,0,0,0
business,1771861812.729,4.007,1,76,19,0,0,0
business,1771861813.728,5.007,1,96,20,0,0,0
business,1771861814.728,6.007,3,116,20,0,0,0
business,1771861815.728,7.008,2,136,20,0,0,0
business,1771861816.730,8.008,2,155,19,0,0,0
business,1771861817.733,9.010,1,174,19,0,0,0
business,1771861818.730,10.010,1,194,20,0,0,0
business,1771861819.731,11.011,2,214,20,0,0,0
business,1771861820.731,12.011,1,234,20,0,0,0
business,1771861821.731,13.011,1,254,20,0,0,0
business,1771861822.735,14.011,1,256,2,0,0,0
business,1771861823.732,15.011,1,256,0,0,0,0
business,1771861824.736,16.011,1,256,0,0,0,0
business,1771861825.731,17.011,0,256,0,0,0,0
business,1771861826.731,18.012,1,256,0,0,0,0
business,1771861827.731,19.012,0,256,0,0,0,0
udp_inject,1771861828.735,20.014,1,258,2,0,0,0
udp_inject,1771861829.737,21.015,1,278,20,0,0,0
udp_inject,1771861830.735,22.015,2,297,19,0,0,0
udp_inject,1771861831.736,23.015,0,318,21,0,0,0
udp_inject,1771861832.735,24.015,2,337,19,0,0,0
udp_inject,1771861833.737,25.016,1,357,20,0,0,0
udp_inject,1771861834.737,26.016,2,377,20,0,0,0
udp_inject,1771861835.738,27.017,1,397,20,0,0,0
udp_inject,1771861836.738,28.017,1,417,20,0,0,0
udp_inject,1771861837.739,29.017,1,437,20,0,0,0
