Disconnect Peak Curve (gateway_session_unregister delta/sample)
===============================================================
    0.0s [business  ] |  0
    1.0s [business  ] | ################################ 17
    2.0s [business  ] | ###################################### 20
    3.0s [business  ] | ###################################### 20
    4.0s [business  ] | #################################### 19
    5.0s [business  ] | ###################################### 20
    6.0s [business  ] | ###################################### 20
    7.0s [business  ] | ###################################### 20
    8.0s [business  ] | #################################### 19
    9.0s [business  ] | #################################### 19
   10.0s [business  ] | ###################################### 20
   11.0s [business  ] | ###################################### 20
   12.0s [business  ] | ###################################### 20
   13.0s [business  ] | ###################################### 20
   14.0s [business  ] | #### 2
   15.0s [business  ] |  0
   16.0s [business  ] |  0
   17.0s [business  ] |  0
   18.0s [business  ] |  0
   19.0s [business  ] |  0
   20.0s [udp_inject] | #### 2
   21.0s [udp_inject] | ###################################### 20
   22.0s [udp_inject] | #################################### 19
   23.0s [udp_inject] | ######################################## 21
   24.0s [udp_inject] | #################################### 19
   25.0s [udp_inject] | ###################################### 20
   26.0s [udp_inject] | ###################################### 20
   27.0s [udp_inject] | ###################################### 20
   28.0s [udp_inject] | ###################################### 20
   29.0s [udp_inject] | ###################################### 20
