phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771861613.677,0.007,1,0,0,0,0,0
business,1771861614.653,1.007,0,4,4,0,0,0
business,1771861615.653,2.007,0,4,0,0,0,0
business,1771861616.655,3.008,3,4,0,0,0,0
business,1771861617.658,4.010,0,4,0,0,0,0
business,1771861618.656,5.010,0,4,0,0,0,0
business,1771861619.660,6.011,0,4,0,0,0,0
business,1771861620.658,7.011,1,4,0,0,0,0
business,1771861621.658,8.011,1,4,0,0,0,0
business,1771861622.659,9.012,0,4,0,0,0,0
business,1771861623.660,10.013,1,4,0,0,0,0
business,1771861624.659,11.013,0,4,0,0,0,0
business,1771861625.660,12.013,0,4,0,0,0,0
business,1771861626.662,13.014,2,4,0,0,0,0
business,1771861627.660,14.014,0,4,0,0,0,0
business,1771861628.662,15.014,0,4,0,0,0,0
business,1771861629.663,16.015,1,4,0,0,0,0
business,1771861630.664,17.015,0,4,0,0,0,0
business,1771861631.662,18.015,1,4,0,0,0,0
business,1771861632.663,19.016,0,4,0,0,0,0
udp_inject,1771861633.666,20.019,1,4,0,0,0,0
udp_inject,1771861634.666,21.019,3,8,4,0,0,0
udp_inject,1771861635.669,22.020,0,8,0,0,0,0
udp_inject,1771861636.668,23.020,0,8,0,0,0,0
udp_inject,1771861637.669,24.021,0,8,0,0,0,0
udp_inject,1771861638.667,25.021,0,8,0,0,0,0
udp_inject,1771861639.670,26.021,0,8,0,0,0,0
udp_inject,1771861640.669,27.021,1,8,0,0,0,0
udp_inject,1771861641.668,28.021,1,8,0,0,0,0
udp_inject,1771861642.670,29.022,0,8,0,0,0,0
