Disconnect Peak Curve (gateway_session_unregister delta/sample)
===============================================================
    0.1s [business  ] |  0
    1.1s [business  ] |  0
    2.1s [business  ] |  0
    3.1s [business  ] | ######################################## 128
    4.1s [business  ] | ################ 51
    5.1s [business  ] | ######################## 77
    6.1s [business  ] | ####################################### 125
    7.1s [business  ] | # 3
    8.1s [business  ] | ######################################## 128
    9.1s [business  ] |  0
   10.1s [business  ] | ######################################## 128
   11.1s [business  ] |  0
   12.1s [business  ] | ######################################## 128
   13.1s [business  ] |  0
   14.1s [business  ] | ######################################## 128
   15.1s [business  ] |  0
   16.1s [business  ] | ######################################## 128
   17.1s [business  ] |  0
   18.1s [business  ] |  0
   19.1s [business  ] | ######################################## 128
   20.1s [business  ] |  0
   21.1s [business  ] |  0
   22.1s [business  ] | ######################################## 128
   23.1s [business  ] |  0
   24.1s [business  ] |  0
   25.1s [business  ] | ######################################## 128
   26.1s [business  ] |  0
   27.1s [business  ] |  0
   28.1s [business  ] | ######################################## 128
   29.1s [business  ] |  0
   30.1s [business  ] |  0
   31.1s [business  ] | ######################################## 128
   32.1s [business  ] |  0
   33.1s [business  ] | ######################################## 128
   34.1s [business  ] |  0
   35.1s [business  ] |  0
   36.1s [business  ] |  0
   37.1s [business  ] |  0
   38.1s [business  ] | ######################################## 128
   39.1s [business  ] |  0
   40.1s [business  ] | ######################################## 128
   41.1s [business  ] |  0
   42.1s [business  ] | ######################################## 128
   43.1s [business  ] |  0
   44.1s [business  ] | ######################################## 128
   45.1s [business  ] |  0
   46.1s [business  ] | ######################################## 128
   47.1s [business  ] |  0
   48.1s [business  ] |  0
   49.1s [business  ] |  0
   50.1s [business  ] |  0
   51.1s [business  ] | ######################################## 128
   52.1s [business  ] | ## 6
   53.1s [business  ] | ###################################### 122
   54.1s [business  ] |  0
   55.1s [business  ] | ######################################## 128
   56.1s [business  ] | ######################## 78
   57.2s [business  ] | ################ 50
   58.2s [business  ] |  0
   59.2s [business  ] | ######################################## 128
   60.2s [business  ] |  0
   61.2s [business  ] | ######################################## 128
   62.2s [business  ] |  0
   63.2s [business  ] | ######################################## 128
   64.2s [business  ] |  0
   65.2s [business  ] | ######################################## 128
   66.2s [business  ] |  0
   67.2s [business  ] | ######################################## 128
   68.2s [business  ] |  0
   69.2s [business  ] |  0
   70.2s [business  ] |  0
   71.2s [business  ] |  0
   72.2s [business  ] |  0
   73.2s [business  ] | ######################################## 128
   74.2s [business  ] |  0
   75.2s [business  ] | ######################################## 128
   76.2s [business  ] |  0
   77.2s [business  ] | ######################################## 128
   78.2s [business  ] |  0
   79.2s [business  ] |  0
   80.2s [business  ] |  0
   81.2s [business  ] |  0
   82.2s [business  ] |  0
   83.2s [business  ] | ######################################## 128
   84.2s [business  ] |  0
   85.2s [business  ] |  0
   86.2s [business  ] |  0
   87.2s [business  ] | ######################################## 128
   88.2s [business  ] |  0
   89.2s [business  ] |  0
   90.2s [business  ] | ######################################## 128
   91.2s [business  ] |  0
   92.2s [business  ] | ######################################## 128
   93.2s [business  ] |  0
   94.2s [business  ] |  0
   95.2s [business  ] | ######################################## 128
   96.2s [business  ] |  0
   97.2s [business  ] | ######################################## 128
   98.2s [business  ] |  0
   99.2s [business  ] |  0
  100.2s [business  ] | ######################################## 128
  101.2s [business  ] | ########### 34
  102.2s [business  ] | ############################# 94
  103.2s [business  ] |  0
  104.2s [business  ] |  0
  105.2s [business  ] |  0
  106.2s [business  ] |  0
  107.2s [business  ] | ############################# 93
  108.2s [business  ] | ########### 35
  109.2s [business  ] |  0
  110.3s [business  ] |  0
  111.3s [business  ] |  0
  112.3s [business  ] |  0
  113.3s [business  ] | ######################################## 128
  114.3s [business  ] |  0
  115.3s [business  ] |  0
  116.3s [business  ] |  0
  117.3s [business  ] | ######################################## 128
  118.3s [business  ] |  0
  119.3s [business  ] |  0
  120.3s [business  ] |  0
  121.3s [business  ] | ######################################## 128
  122.3s [business  ] |  0
  123.3s [business  ] |  0
  124.3s [business  ] |  0
  125.3s [business  ] |  0
  126.3s [business  ] |  0
  127.3s [business  ] | ######################################## 128
  128.3s [business  ] |  0
  129.3s [business  ] | ######################################## 128
  130.3s [business  ] |  0
  131.3s [business  ] |  0
  132.4s [business  ] |  0
  133.4s [business  ] |  0
  134.4s [business  ] |  0
  135.4s [business  ] | ######################################## 128
  136.4s [business  ] | ############################# 94
  137.4s [business  ] | ########### 34
  138.4s [business  ] |  0
  139.4s [business  ] | ######################################## 128
  140.4s [business  ] |  0
  141.4s [business  ] |  0
  142.4s [business  ] |  0
  143.4s [business  ] |  0
  144.4s [business  ] | ######################################## 128
  145.4s [business  ] |  0
  146.4s [business  ] | ######################################## 128
  147.4s [business  ] |  0
  148.4s [business  ] |  0
  149.4s [business  ] |  0
  150.4s [business  ] |  0
  151.4s [business  ] |  0
  152.4s [business  ] | ######################################## 128
  153.4s [business  ] |  0
  154.4s [business  ] | ######################################## 128
  155.4s [business  ] |  0
  156.4s [business  ] | ######################################## 128
  157.4s [business  ] |  0
  158.4s [business  ] |  0
  159.4s [business  ] |  0
  160.4s [business  ] | ######################################## 128
  161.4s [business  ] |  0
  162.4s [business  ] |  0
  163.4s [business  ] |  0
  164.4s [business  ] |  0
  165.5s [business  ] | ######################################## 128
  166.5s [business  ] |  0
  167.5s [business  ] |  0
  168.5s [business  ] | ######################################## 128
  169.5s [business  ] |  0
  170.5s [business  ] | ######################################## 128
  171.5s [business  ] |  0
  172.5s [business  ] | ######################################## 128
  173.5s [business  ] |  0
  174.5s [business  ] |  0
  175.5s [business  ] |  0
  176.5s [business  ] |  0
  177.5s [business  ] |  0
  178.5s [business  ] | ######################################## 128
  179.5s [business  ] |  0
  180.6s [udp_inject] | ######################################## 128
  181.6s [udp_inject] |  0
  182.6s [udp_inject] |  0
  183.6s [udp_inject] |  0
  184.6s [udp_inject] |  0
  185.6s [udp_inject] |  0
  186.6s [udp_inject] |  0
  187.6s [udp_inject] |  0
  188.6s [udp_inject] |  0
  189.6s [udp_inject] |  0
  190.6s [udp_inject] |  0
  191.6s [udp_inject] |  0
  192.6s [udp_inject] |  0
  193.6s [udp_inject] |  0
  194.6s [udp_inject] |  0
  195.6s [udp_inject] |  0
  196.6s [udp_inject] |  0
  197.6s [udp_inject] |  0
  198.6s [udp_inject] |  0
  199.6s [udp_inject] |  0
  200.6s [udp_inject] |  0
  201.6s [udp_inject] |  0
  202.6s [udp_inject] |  0
  203.6s [udp_inject] |  0
  204.6s [udp_inject] |  0
  205.6s [udp_inject] |  0
  206.6s [udp_inject] |  0
  207.6s [udp_inject] |  0
  208.6s [udp_inject] |  0
  209.6s [udp_inject] |  0
  210.6s [udp_inject] |  0
  211.6s [udp_inject] | ########## 32
  212.6s [udp_inject] |  0
  213.6s [udp_inject] |  0
  214.6s [udp_inject] |  0
  215.6s [udp_inject] |  0
  216.6s [udp_inject] |  0
  217.6s [udp_inject] |  0
  218.6s [udp_inject] |  0
  219.6s [udp_inject] |  0
  220.6s [udp_inject] |  0
  221.6s [udp_inject] |  0
  222.6s [udp_inject] |  0
  223.6s [udp_inject] |  0
  224.6s [udp_inject] |  0
  225.6s [udp_inject] |  0
  226.6s [udp_inject] |  0
  227.6s [udp_inject] |  0
  228.6s [udp_inject] |  0
  229.6s [udp_inject] |  0
  230.6s [udp_inject] |  0
  231.6s [udp_inject] |  0
  232.6s [udp_inject] |  0
  233.6s [udp_inject] |  0
  234.6s [udp_inject] |  0
  235.6s [udp_inject] |  0
  236.6s [udp_inject] |  0
  237.6s [udp_inject] |  0
  238.6s [udp_inject] |  0
  239.6s [udp_inject] |  0
