unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
1771859688.363,0.933,31,256,0,0,0,0
1771859689.269,1.938,37,640,384,0,0,0
1771859690.270,2.938,23,1139,499,0,0,0
1771859691.299,3.972,33,1618,479,0,0,0
1771859692.289,4.973,33,2069,451,0,0,0
1771859693.329,5.973,27,2499,430,0,0,0
1771859694.324,6.998,26,2906,407,0,0,0
1771859695.384,7.998,44,3352,446,0,0,0
1771859696.354,8.998,28,3774,422,0,0,0
1771859697.349,10.013,34,4291,517,0,0,0
1771859698.330,11.014,30,4806,515,0,0,0
1771859699.391,12.019,32,5282,476,0,0,0
1771859700.357,13.019,30,5805,523,0,0,0
1771859701.356,14.024,37,6341,536,0,0,0
1771859702.391,15.030,26,6896,555,0,0,0
1771859703.382,16.045,38,7394,498,0,0,0
1771859704.362,17.050,34,7903,509,0,0,0
1771859705.372,18.060,40,8411,508,0,0,0
1771859706.406,19.070,32,8938,527,0,0,0
1771859707.430,20.080,24,9465,527,0,0,0
1771859708.438,21.095,26,9949,484,0,0,0
1771859709.472,22.095,19,10406,457,0,0,0
1771859710.453,23.100,32,10858,452,0,0,0
1771859711.489,24.105,31,11341,483,0,0,0
1771859712.472,25.105,25,11786,445,0,0,0
1771859713.446,26.110,38,12245,459,0,0,0
1771859714.432,27.110,30,12706,461,0,0,0
1771859715.433,28.111,27,13194,488,0,0,0
1771859716.432,29.111,26,13582,388,0,0,0
1771859717.462,30.111,26,13977,395,0,0,0
1771859718.457,31.111,26,14546,569,0,0,0
1771859719.487,32.111,35,15086,540,0,0,0
1771859720.502,33.116,27,15645,559,0,0,0
1771859721.447,34.121,34,16176,531,0,0,0
1771859722.497,35.137,37,16741,565,0,0,0
1771859723.473,36.142,20,17237,496,0,0,0
1771859724.493,37.166,32,17787,550,0,0,0
1771859725.543,38.177,34,18344,557,0,0,0
1771859726.494,39.177,37,18854,510,0,0,0
1771859727.514,40.177,37,19377,523,0,0,0
1771859728.494,41.182,37,19913,536,0,0,0
1771859729.535,42.188,23,20444,531,0,0,0
1771859730.560,43.193,35,20957,513,0,0,0
1771859731.534,44.198,26,21484,527,0,0,0
1771859732.575,45.213,32,22031,547,0,0,0
1771859733.579,46.228,35,22557,526,0,0,0
1771859734.570,47.233,42,23092,535,0,0,0
1771859735.575,48.243,35,23624,532,0,0,0
1771859736.582,49.252,28,24156,532,0,0,0
1771859737.618,50.277,34,24712,556,0,0,0
1771859738.613,51.277,32,25280,568,0,0,0
1771859739.614,52.277,38,25784,504,0,0,0
1771859740.619,53.287,29,26328,544,0,0,0
1771859741.672,54.293,36,26906,578,0,0,0
1771859742.632,55.299,38,27446,540,0,0,0
1771859743.685,56.299,21,28038,592,0,0,0
1771859744.656,57.299,29,28558,520,0,0,0
1771859745.646,58.304,30,29082,524,0,0,0
1771859746.646,59.309,31,29667,585,0,0,0
1771859747.650,60.309,30,30230,563,0,0,0
1771859748.647,61.314,24,30783,553,0,0,0
1771859749.682,62.314,31,31330,547,0,0,0
1771859750.734,63.314,28,31915,585,0,0,0
1771859751.643,64.330,35,32416,501,0,0,0
1771859752.747,65.340,30,33000,584,0,0,0
1771859753.688,66.350,29,33501,501,0,0,0
1771859754.731,67.350,34,34077,576,0,0,0
1771859755.706,68.365,33,34595,518,0,0,0
1771859756.726,69.370,33,35139,544,0,0,0
1771859757.692,70.370,34,35670,531,0,0,0
1771859758.711,71.375,33,36232,562,0,0,0
1771859759.732,72.375,35,36737,505,0,0,0
1771859760.785,73.389,41,37292,555,0,0,0
1771859761.766,74.404,35,37837,545,0,0,0
1771859762.766,75.405,32,38378,541,0,0,0
1771859763.741,76.424,33,38926,548,0,0,0
1771859764.801,77.430,32,39476,550,0,0,0
1771859765.761,78.434,27,39964,488,0,0,0
1771859766.781,79.445,35,40520,556,0,0,0
1771859767.810,80.455,26,41045,525,1,0,0
1771859768.761,81.455,30,41572,527,0,0,0
1771859769.782,82.455,33,42123,551,0,0,0
1771859770.787,83.465,26,42644,521,0,0,0
1771859771.836,84.485,29,43187,543,0,0,0
1771859772.807,85.490,32,43715,528,0,0,0
1771859773.856,86.505,31,44269,554,0,0,0
1771859774.842,87.515,39,44799,530,0,0,0
1771859775.857,88.516,34,45342,543,0,0,0
1771859776.843,89.521,34,45854,512,0,0,0
1771859777.833,90.521,34,46386,532,0,0,0
1771859778.863,91.521,38,46935,549,0,0,0
1771859779.858,92.536,33,47469,534,0,0,0
1771859780.889,93.541,28,48029,560,0,0,0
1771859781.898,94.556,34,48564,535,0,0,0
1771859782.874,95.561,25,49110,546,0,0,0
1771859783.942,96.562,37,49657,547,0,0,0
1771859784.927,97.576,38,50204,547,0,0,0
1771859785.899,98.581,30,50699,495,0,0,0
1771859786.948,99.586,34,51229,530,0,0,0
1771859787.929,100.601,34,51763,534,0,0,0
1771859789.000,101.622,37,52339,576,0,0,0
1771859789.969,102.627,32,52833,494,0,0,0
1771859790.990,103.632,33,53355,522,0,0,0
1771859791.990,104.632,25,53848,493,0,0,0
1771859792.980,105.632,36,54384,536,0,0,0
1771859794.087,106.643,34,54961,577,0,0,0
1771859795.044,107.663,26,55441,480,0,0,0
1771859796.005,108.663,39,55985,544,0,0,0
1771859796.994,109.668,27,56507,522,0,0,0
1771859798.036,110.668,37,57069,562,0,0,0
1771859799.031,111.673,31,57575,506,0,0,0
1771859800.016,112.683,38,58099,524,0,0,0
1771859801.056,113.689,28,58644,545,0,0,0
1771859802.035,114.694,42,59186,542,0,0,0
1771859803.056,115.709,33,59719,533,0,0,0
