Disconnect Peak Curve (gateway_session_unregister delta/sample)
===============================================================
    0.8s |  0
    1.8s | ################################### 485
    2.8s | ######################################## 554
    3.8s | ######################################## 553
    4.9s | #################################### 504
    5.9s | ################################## 467
    6.9s | #################################### 495
    7.9s | ################################### 478
    8.9s | ##################################### 510
    9.9s | ################################## 470
   10.9s | ################################ 449
   11.9s | #################################### 494
   12.9s | ################################ 444
   13.9s | ################################## 476
   14.9s | ############################### 430
   15.9s | ############################# 406
   16.9s | ############################### 434
   17.9s | ################################### 482
   18.9s | ############################ 388
   19.9s | ######################## 328
   20.9s | ################################## 471
   21.9s | ######################### 348
   22.9s | ####################### 317
   23.9s | ################################ 447
   25.0s | ############################## 416
   26.0s | ############################## 421
   27.0s | ####################### 313
   28.0s | ######################### 353
   29.0s | ############################## 422
   30.0s | ########################## 363
   31.0s | ################################## 464
   32.0s | ##################################### 507
   33.0s | ####################################### 542
   34.0s | ################################# 461
   35.0s | ################################# 452
   36.1s | ##################################### 510
   37.1s | ################################### 483
   38.1s | ################################## 469
   39.1s | ##################################### 514
   40.1s | ################################## 475
   41.1s | ################################### 490
   42.1s | ################################# 462
   43.1s | ###################################### 533
   44.1s | ################################### 478
   45.1s | #################################### 498
   46.1s | ###################################### 523
   47.1s | ################################### 491
   48.2s | ################################## 465
   49.2s | ################################## 475
   50.2s | ################################## 475
   51.2s | ##################################### 508
   52.2s | ################################# 461
   53.2s | ###################################### 520
   54.2s | ################################### 487
   55.2s | ####################################### 535
   56.2s | ############################## 409
   57.2s | ########################## 366
   58.2s | ######################### 350
   59.2s | ########################## 354
   60.2s | ############################# 399
   61.2s | ################################## 469
   62.2s | #################################### 499
   63.2s | #################################### 504
   64.2s | #################################### 492
   65.2s | ################################### 490
   66.2s | ##################################### 518
   67.2s | #################################### 493
   68.2s | #################################### 495
   69.2s | ################################## 475
   70.2s | ################################## 467
   71.2s | ##################################### 518
   72.2s | ################################### 489
   73.2s | ################################### 487
   74.3s | #################################### 499
   75.3s | ################################### 482
   76.3s | #################################### 505
   77.3s | ##################################### 508
   78.3s | ################################### 487
   79.3s | ################################ 444
   80.3s | ################################### 480
   81.3s | #################################### 504
   82.3s | ################################ 445
   83.3s | ###################################### 529
   84.3s | ################################ 440
   85.3s | ################################### 489
   86.3s | ################################ 447
   87.3s | ################################## 477
   88.3s | ################################## 476
   89.3s | ########################## 357
   90.3s | ############################## 418
   91.3s | ################################### 480
   92.3s | #################################### 495
   93.3s | ####################################### 542
   94.3s | ################################### 482
   95.3s | #################################### 493
   96.3s | #################################### 499
   97.4s | ################################## 469
   98.4s | ################################### 483
   99.4s | ################################### 481
  100.4s | ################################# 459
  101.4s | #################################### 494
  102.4s | ##################################### 517
  103.4s | ################################### 483
  104.4s | ##################################### 510
  105.4s | ##################################### 507
  106.4s | #################################### 499
  107.4s | ###################################### 521
  108.4s | ################################## 472
  109.4s | ################################# 462
  110.4s | ################################### 486
  111.4s | ################################### 484
  112.4s | ################################### 481
  113.4s | ##################################### 516
  114.4s | ################################## 471
  115.4s | #################################### 495
  116.5s | ##################################### 507
  117.5s | ###################################### 527
  118.5s | ################################ 442
  119.5s | #################################### 496
