phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771863225.180,0.035,1,0,0,0,0,0
business,1771863226.153,1.035,1,0,0,0,0,0
business,1771863227.157,2.037,2,0,0,0,0,0
business,1771863228.155,3.037,1,0,0,0,0,0
business,1771863229.157,4.038,1,0,0,0,0,0
business,1771863230.157,5.038,1,0,0,0,0,0
business,1771863231.157,6.038,1,0,0,0,0,0
business,1771863232.157,7.038,1,1,1,0,0,0
business,1771863233.158,8.039,1,1,0,0,0,0
business,1771863234.159,9.040,1,1,0,0,0,0
business,1771863235.160,10.040,1,1,0,0,0,0
business,1771863236.159,11.041,1,1,0,0,0,0
business,1771863237.159,12.041,1,2,1,0,0,0
business,1771863238.160,13.041,1,2,0,0,0,0
business,1771863239.160,14.042,1,2,0,0,0,0
business,1771863240.160,15.042,1,2,0,0,0,0
business,1771863241.161,16.042,1,2,0,0,0,0
business,1771863242.161,17.043,1,3,1,0,0,0
business,1771863243.160,18.043,1,3,0,0,0,0
business,1771863244.162,19.043,3,3,0,0,0,0
business,1771863245.164,20.043,1,3,0,0,0,0
business,1771863246.162,21.044,1,3,0,0,0,0
business,1771863247.166,22.044,1,5,2,0,0,0
business,1771863248.163,23.044,0,5,0,0,0,0
business,1771863249.162,24.044,0,5,0,0,0,0
business,1771863250.163,25.045,0,5,0,0,0,0
business,1771863251.164,26.045,0,5,0,0,0,0
business,1771863252.164,27.045,0,5,0,0,0,0
business,1771863253.164,28.045,0,5,0,0,0,0
business,1771863254.165,29.046,0,5,0,0,0,0
business,1771863255.165,30.046,0,5,0,0,0,0
business,1771863256.165,31.046,0,5,0,0,0,0
business,1771863257.165,32.047,0,8,3,0,0,0
business,1771863258.166,33.047,0,11,3,0,0,0
business,1771863259.167,34.048,0,11,0,0,0,0
business,1771863260.167,35.048,0,11,0,0,0,0
business,1771863261.171,36.048,0,11,0,0,0,0
business,1771863262.166,37.048,0,11,0,0,0,0
business,1771863263.167,38.048,0,11,0,0,0,0
business,1771863264.166,39.048,0,12,1,0,0,0
business,1771863265.169,40.049,1,12,0,0,0,0
business,1771863266.169,41.049,0,13,1,0,0,0
business,1771863267.168,42.049,0,13,0,0,0,0
business,1771863268.169,43.050,0,15,2,0,0,0
business,1771863269.169,44.051,0,17,2,0,0,0
business,1771863270.170,45.051,0,17,0,0,0,0
business,1771863271.170,46.051,0,18,1,0,0,0
business,1771863272.170,47.052,0,18,0,0,0,0
business,1771863273.172,48.052,0,18,0,0,0,0
business,1771863274.172,49.053,0,18,0,0,0,0
business,1771863275.172,50.053,0,21,3,0,0,0
business,1771863276.172,51.053,0,23,2,0,0,0
business,1771863277.174,52.053,1,25,2,0,0,0
business,1771863278.173,53.054,0,26,1,0,0,0
business,1771863279.174,54.055,0,26,0,0,0,0
business,1771863280.175,55.055,2,27,1,0,0,0
business,1771863281.173,56.055,0,28,1,0,0,0
business,1771863282.174,57.055,0,30,2,0,0,0
business,1771863283.178,58.055,0,30,0,0,0,0
business,1771863284.175,59.056,0,30,0,0,0,0
udp_inject,1771863285.191,60.069,3,33,3,0,0,0
udp_inject,1771863286.188,61.069,0,35,2,0,0,0
udp_inject,1771863287.188,62.069,1,38,3,0,0,0
udp_inject,1771863288.187,63.069,0,42,4,0,0,0
udp_inject,1771863289.188,64.069,1,42,0,0,0,0
udp_inject,1771863290.188,65.070,0,43,1,0,0,0
udp_inject,1771863291.188,66.070,0,47,4,0,0,0
udp_inject,1771863292.189,67.070,0,48,1,0,0,0
udp_inject,1771863293.189,68.070,0,49,1,0,0,0
udp_inject,1771863294.191,69.071,0,52,3,0,0,0
udp_inject,1771863295.191,70.072,0,53,1,0,0,0
udp_inject,1771863296.191,71.072,0,54,1,0,0,0
udp_inject,1771863297.192,72.073,0,55,1,0,0,0
udp_inject,1771863298.192,73.073,0,57,2,0,0,0
udp_inject,1771863299.192,74.073,0,58,1,0,0,0
udp_inject,1771863300.192,75.074,0,59,1,0,0,0
udp_inject,1771863301.193,76.074,0,61,2,0,0,0
udp_inject,1771863302.192,77.075,0,62,1,0,0,0
udp_inject,1771863303.194,78.075,1,62,0,0,0,0
udp_inject,1771863304.194,79.075,0,64,2,0,0,0
udp_inject,1771863305.194,80.076,0,65,1,0,0,0
udp_inject,1771863306.195,81.076,0,66,1,0,0,0
udp_inject,1771863307.195,82.077,0,67,1,0,0,0
udp_inject,1771863308.195,83.078,0,68,1,0,0,0
udp_inject,1771863309.197,84.078,0,69,1,0,0,0
udp_inject,1771863310.198,85.078,0,70,1,0,0,0
udp_inject,1771863311.197,86.079,0,72,2,0,0,0
udp_inject,1771863312.197,87.079,0,73,1,0,0,0
udp_inject,1771863313.197,88.079,0,74,1,0,0,0
udp_inject,1771863314.198,89.079,0,76,2,0,0,0
